Event,Startdato,Slutdato,Maaned
DOK UK,2026-03-26,2026-03-27,Marts
RT,2026-04-07,2026-04-07,April
RT Party,2026-04-10,2026-04-10,April
DOK Nordic,2026-04-17,2026-04-18,April
Elevate US / Directions NA,2026-04-26,2026-04-29,April
User Day,2026-05-07,2026-05-07,Maj
Dynamics Con,2026-05-12,2026-05-12,Maj
Directions Asia,2026-05-13,2026-05-15,Maj
DOK Central,2026-05-21,2026-05-22,Maj
Dynamics Minds,2026-05-25,2026-05-26,Maj
Elevate UK,2026-06-03,2026-06-03,Juni
BC TechDays,2026-06-11,2026-06-12,Juni
Aptean,2026-10-05,2026-10-08,Oktober
Summit US,2026-10-11,2026-10-15,Oktober
Directions EMEA,2026-10-27,2026-10-29,Oktober
